author,comment
@mwongjatim8445,"KEREEEN INI KATA2 ...

BENAR SEKALI...BUKAN  PIHAK RESMI TAPI MENUNTUT DAN MENYERANG ORANG TANPA BUKTI...!"
@kangudin,"Roy panci ini kok ngeyel baget seh. Bikin geram. 
Keahliyan ya blm ada fefikasi omongan y sudah kemana2 di bilangin malah cengar cengir kayak ngejek orang."
@ionsuryana6801,Silvester nyebokin orang bisulan yang tak ada harganya lagi   😅😅😅😅😅😅
@YeraS-d7b9f,sarjana muda
@kun8963,"tujuan tercapai kali ya...buat gaduh negeri ini dgn polesan apapun...dan semua ""melayani""..dgn baik si pembuat gaduh itu....yg media, yg pengamat atau lainnya...seakan ""bahan mainan"" aja...
gmn mo ngomong ini asli ini palsu...
sedang penerbit ijasah aja udah ""bilang"" asli..so pasti asli...selesai...lha yg buat ""ontran2"" itu layak masuk hotel gratiss"
@RimbaBujang-x1c,Roy Surya penuduh ijazah palsu tapi Roy Suryo tidak punya bukti aslinya guys
@pashariboe5191,"Betul lah masak taruhan cuman sebelah pihak, namanya taruhan dari kedua belah pihak dong enak aja si Roy dkk😂😂😂"
@herupaloma4106,Roy Suryo cengar cengir menutupi fitnahannya
@anselmusdoa3191,Pa Sil ini terlalu meremehkan Dr.Rismon dan Dr.Roy aneh
@MiyayamSpesial,Ketahuan silverset belum pernah melakukan penelitian 😅
@cenelamadi2730,"Daripada debat mbok langsung ditangani yg berhak nangani biar gak ngalor ngidul omongane pak boss Ben cepat selesai,,, gan bangun negara"
@BenjaminEthan-c9b,Maksudnya bukan pihak resmi apa ya? Apa yang dimaksudkan dengan bukan pihak resmi atau pihak resmi?
@RiaHandini-gy2kg,"yang berbelit"" bukan biasanya palsu tapi pasti palsu"
@antoniosamsung6253,Begitu dendamnya anjing2 ini sama jokowi apa untuknya untuk mereka
@73rezais,"Mestinya sekalian mengundang Josua Sinambela, ahli digital forensic yang layak jadi lawan duo-RS"
@BangAries-fy2zc,Lagian aneh sama negara ini. Masak sama sekelompok cecenguk cecenguk kek gini hukum tidak bisa mempidanakan nya. Malu2 in di tonton negara lain.
@fitriaja2978,Cengar cengir so roy
@DediLeboi,Ngarang cerita aja itu org nampak dari mulut ny
@jondrisyahputra6217,Hey kau silfester pun tidak resmi.
@juragananggrek803,Saya mendukung bang Roy terus maju bang saya dua'kan mudah²an berhasil
@JibekJibek-j1q,Mulai blunder
@erwinanthony5415,Roy panci kapan cek akta kelahiran Joko Wi? siapa tahu akta kelahiran jokowi juga palsu? Terus sekalian periksa DNA Jokowi siapa tahu Jokowi manusia palsu alias android humanoid made in China.
@fansmiliterid5514,Pihak yang resmi yang dapat dipercaya cumak DAMKAR !!!
@zavalava9125,"Roy cengengesan terus, nanti akan ketahuan borok anda dan kawan2 di belakang nama TPUA."
@marvelferdyatmadja5931,"Bang Silvester keren,,,,"
@lianafathur6259,Ayo lanjutkan biar ngantuk saya ilang
@Hasoloanpanjaitan,Lempar mic aja mulutnya Si Roy supaya tdk nyinyir
@NursahidSuyatin,Kalau aku lebih percaya omongan rismon dan roy pakai dasar ilmu ilmiah dari pada omongan sil sifter yang omongan nya asal bacot ribet gak pakai ilmu
@jihadislamkarawang,"Silvester anda telah kalah secara pembuktian hukum, anda malah memancing keributan karna kalah argumen berbasis ilmu akademi ilmiah
Semakin silfester mencari cara buat meng-aslikan yang palsu maka berbagai trik kepalsuan anda sok betingkah ingin viral sebagai praktisi hukum dari timur indonesia maka kami orang2 pulau jawa sudah muak dengan mainan djadoel dari tipuan jokowi cs
Hal ini sudah alloh isyaratkan bahwa hal2 beginian sudah tidak boleh walau pun selicik apa anda, hasil akhirnya tetap jatuh juga
Allohu akbar, walillah hilham"
@juniarka9683,"Roy suryo dan rismon kata nya orang pinter tpi gk nyambung, yg sebelah bicara tentang hukum yg sebelah bilang tentang teori..."
@tonisiswoyo857,"Justru dgn adanya irang2 cerdas berdasar keilmuannya, mereka ( roy suryo, bang rismon dll ) kami rakyat menjadi tahu dan paham akan sebuah kebusukan / kebohongan ijazah palsu dari seorang mantan presiden yg telah dipilih oleh rakyat tapi sanggup dan tega menyakiti, menghianati dan tidak bisa menjaga amanah dari smua kekayaan alam bumi Pertiwi - NKRI....
mereka menyuarakan kebenaran tanpa dibayar sepeserpun hanya demi NKRI dan nyawa mereka taruhannya....
Kebenaran akan selalu mencari jalannya....
Lanjutkan pak Roy suryo, pak Rismon, Bu Tifa, Rocky Gerung dll"
@NaziNazimah,kalo org kerjaan buka aib org sekrg dibuka aib sendiri😂😂
@supartowijaya2788,Haduh bang Silvester gimna sih??
@ferycorner314,"Itu sudah ada pengakuan, bahwa kata yang dipakai ""IDENTIK"" bukan ""OTENTIK"".
Jadi memang pengakuan terkonfirmasi secara jelas dari segi bahasa Indonesia."
@AnangWahyuWidodo,Undang Josua M Sinambela
@AnangWahyuWidodo,"Bang Karni 

Tolong undang Josua M Sinambela"
@aweiShop,Mampus kawoo roy 😂😂😂😂😂🎉
@riafathan3347,Haruse maluuu maluuu buangettttt nih anak2 n bininya roy CS
@riafathan3347,Kapan sih ini mau dibawa kepersidangan... Udah kepengin banget liat roy cs masuk penjara
@riafathan3347,Jangan nyengar nyengir ci panci..
@enobe9506,Kasus ijazah ini hanya pembodohan rakyat. Bahaya jika kita akan menjadi bangsa yang bangga dengan ijazah tpi tidak punya kompetensi. Untuk memperoleh kompetensi kita harus belajar diantaranya melalui pendidikan. Ijazah bukan bukti kompetensi melainkan hanya bukti lulusan saja.
@hasanhariri7148,Kok pada bodoh tinggal tunjukin ijazah jokiwi selesai barang mudah dibuat ribet abeb
@TandiHariadi,Sy pribadi ingin ROY PANCI CEPAT2 MASUK BIAR ADA KEPUASAN PRIBADI SAYA
@oemaralfaroeq7999,Beda kelas dan level orang yg lulusan universitas resmi dan universitas ruko.
@HelmiLisnawati-jt7bb,Si roy cengarcengir padahal dia tuh hati nya waswas 😂😂😂m
@shinchanKZM,"Nyengir"" Bingung cari bahan si roy ini"
@sikerdilcekeredekil,Proses roy dan rismon biar Indonesia damai sejahtera
@didik.prasetyoaja739,Klo alibi yg ngungah Dian sandi ato yg di ungah Dian sandi itu palsu boleh tp klo izasah pak Jokowi palsu tp ternyata asli berarti ahli curut kena preng
@sargiyanto4537,om Selter kok koyo menggiring Roy untuk mengetahui yang akan di sampaikan di Pengadilan mau cari tahu dulu kayaknya nichhhh mau ngibul juga kah???
@dickydermawan7106,Ilmu dibuat jadi terkesan ga penting. Pantesan IQ rata-rata cuma 78 dan pendidikan nasional jalan di tempat.
@claudyarinita1436,Pro kontra itu biasa tp kalau sdh pro ke silfester anda sakit....
@zorro6335,Rismon woi.. huruf Times New Roman itu SUDAH ADA SEJAK 1931
@rohadiabimanyu2119,Roy pakar abal2
@hutabritobri9035,Senyum2 ngambang..ntar lgi masuk bui kau RS berdua !!!!
@leonardoyanto7878,"Polri terlalu lelet dlm pemeriksaan ini shg Roy Panci semakin ngawur teriak2 di medsos. Akibatnya Negara gaduh. Polri hrs berani cepat tangkap Roy Panci cs dan segera proses disidang, agar Negara tdk gaduh dan ada kepastian hukum...."
@domingguskese3623,"Tangkap krismon Sianipar ini belajar bohong dari mana,?? Agamanya apa   atau tidak punya agama kalau lihat dari kebohongannya 😊"
@pakwasito7540,"Dimanapun sivester di undang pasti gaduh ,dia gk punya pengalaman ,cuman emosinya yg dia andalkan menurupi segala kebusukan ,"
@leniindrawanti9279,Kok liat roy suryo sangat menyebalkan sekaligus 😆😆
@SaptadjieRschmat-p9t,Hahaha.. Rismon fakar Abal2..  ijazah jepunnya palsu
@moslemsutanto1148,"Semua berawal dari sebuah gorong gorong, semua gegara KARDOEZ DIGEEEMBOX mk lahirlah seorang jungiboel Mulyono pki pranksident ijazah palsu sein kanan belok kiri nominator OCCRP parahhhh"
@ZilongSetiawan-e8t,"dari awal { hususnya di vidio ini) jika saya amati Roy Panci mantan Narapidana 9 bulan ini, mulai dari gimik wajahnya, tatapan matanya, ekspresi ketawanya, serta kosa kata yang dipergunakannya serta kecepatan bicaranya yang selalu berubah-ubah, Manusia ini senagnmengalami ""آNeurotic Behaviors""  atau istilah lain dalam dunia psikologi dan psikiater ""internalized Disorder : Generalized disorder, Depression, Obsessive-compulsive disorder, Social Phobia, Posttarumatic stress disorder, panic disorder, Antisocial personality disorder termasuk gerombo;annya semua lalu dikemas dengan agama!!! Maklumlah, kan mantan eks-HTI dan FPI...sejak dibubarkan negara maka semua pendapatan beku total....kwkwkwkwkkwkwkkw"
@franqm5625,Asli roy ni kayak perempuan....
@kepobangetlu25,"Muka nya fimanto dgn Jokowi aja beda jauh gmn mau di bandingkan apalagi di identifikasi hanya dgn kacamata, sy jg pake kacamata roy cocok logikan lah😂😂,, intinya rismon roy tifa cuma menjual diri deni kebohongan.😂😂😂"
@DwiNugroho-x9h,Tertawa lah kau roy.... Sebentar lagi kau nangis2 hhhhhhh soksok an pandai tapi BODOH ORGANIK
@STORIEKIWARAS,"RS cs . .akan terus memburu hadiah 6m..
Yg disaembarakan 😅😅 maka nya lupa klw sedang menggali kuburan nya sendiri"
@jennymore3845,roy dan rismon ini produk UGM yg gagal.. sampah2 yg benci jokowi
@asepts-PsPanglipur,Udah lah... Tindak Hukum aja itu pembuat kegaduhan. Mau benar mau salah Pa Jokowi. Tetap iru Roy Cs akan membu at Gaduh. Ini org2 hama.
@NanaHendriana-qi6up,"Jokowi nya kaya tai,masih aja di ecek2 orang2 kaya begitu,mendingan Jokowi pake daster aja"
@WalibudinUdin,Wajar Bela mati2an udh  dpt transfernya 😂😂😂
@KaspulAnwar-c3z,"Mas soryo  mewakili Rakyat banyak  kamu itu silver pembela pembohong,"
@ChrisB-dq2eu,"Kesalahan semua terletak  pada P Jokowi, Karena tidak mau menunjukkan ijazah yg asli"
@mukririfai1258,Pix tai kucing 😂
@borggrevechannel1148,Telematika omon omon
@borggrevechannel1148,Rs telepathically abal abal
@AlfinaZitniilma,"Mantap pak Roy,saya dukung pak Roy Suryo masuk penjara😂😂😂"
@mukririfai1258,Roy dan kawan kawannya nyari hotel prodeo... 😅
@MaringanHutabarat-x2o,Hai Sillfester sadarlah kau Rakyat sedangmenonton ke goblokanmu
@benyaminvalo6285,Silvester = 0 (nol) .....apa....😮😂😂😂😂😂?
@MaAnggaJelek,Kalau memang ijasah Asli maka perlihatkan pak supaya warga Indonesia percaya pak.
@r_harwono8070,Songong bet lu sur
@rudyroga9001,Orang mirip  ataupun kembar apa artinya sama atau dia. Dodol amat pnci cs kan banyak sekali orang mirip kenapa ftonya pak JK g d samakan dengan ftonya Jarwo kuat.
@LestariNingsih-b1g,"Maju teeus aroy, ris, tif...  Baju orange d depan mata...    Silahkan d nik.mati.. 🤣🤣🤣"
@DitusWalis,Saya yakin ijazah pak Jokowi itu adalah % ASSSLI.
@noormantanjung,Udah ke pengadilan sja ...buka di sidang pengadilan
@daretodream2434,"Ijazah seluruh orang Indonesia semuanya belum bisa dinyatakan ASLI apabila belum diteliti oleh RS dan dilegalisir oleh RS. 
Sekalipun sekolah/kampus tempat kita menuntut ilmu sudah menyatakan ijazah tsb asli. 😅😂"
@Zurban-n7p,Pembela jkw betul2 mati2an berbusa2 menĝapa?
@wiwietyanuar4425,Kenapa tdk menghadirkan antara rosmon dg jhosua sinambela atau pakar digital forensik lainnya
@lautan.pulletchannel6553,Roy gila
@ABCDErkttt,Si ROY kagak capek apa nyengir mulu
@WongNuswantoro,"klu sdh di persidangan bisa terbalik nanti..di botak akan di tanya juga keaslian ijasahnya,si Roy akan di tanya juga ngaku2 pakar telematika tapi apa benar jurusan S1..2..3..sama
siap2 pkai baju parkir..."
@yanpiet5787,"Wahhh si Rismon ini lagi perdebadatan, dia tidak pernah berkuliah di luar negeri dan data-data tidak terdaftar secara resmi. Sekarang banyak pakar dan ahli digital mulai speak up mengenai metode dan cara dia melakukan analisis dan sebenarnya bukan analisis forensik. Wah mampus,, kena batunya juga akhirnya. Menuduh orang menipu padahal dia yang menipu satu indonesia karena mengaku berkuliah di Jepang dan mengaku ngaku ahli digitak forensik"
@TegeMania,Roy suryo mudah2an kena azab
@imademariada7334,"Tunggu roy rismon
Baju orange nya"
@arshilafarzana3993,Roy sama rismon lag panik
@khairuddinhusain9542,"Biarkan ngomong bebas apa ja, lawong pendidikan tidak mencerminkan ada ilmunya yg rusak ugm sudah mengeluarkan ijasah panci.,. Endingnya juga masuk jeruji😂😂"
@RudiMunthe-j8q,Roy suryo manusia tak tau malu
@agusidasmt2022,ROY SURYO MERASA PALING BENER DAN PINTER...KALAU NGOMONG SUKSES DG NYENGAR NYENGIR DAN NGOTOT DEMI MENUTUPI KETAR KETIR HATINYA YG BERBOHONG.
@RudiMunthe-j8q,"Negara lain sudah membahas tantangan zaman di masa depan
Di Indonesia segerombolan orang masih mempersalahkan ijasah 😂
Koplakk bodoh"
@arshilafarzana3993,Dasar Roy orang gila d bilanggi ketawa2 aja
@nurlelahadiansyah9426,Cengegesan roy panci
@lulukhartati2692,Jadi gak sabar roy dan kawan2 matinya kayak apa?
@cinaanaa,Roy drengas drenges tok ae isoe angger debat
@slametpurwanto9210,"Pengacara hnya memandang dari perpektif hukum, pdhl ijazah seseorang mahasiswa bisa di lacak scra urut, dari sipenmaru, semesteran, KKN, SKRIPSI baru ijazah,, tolonglah lakukan itu secara terbuka, transfaran, jujur,"
@Dirzabordir18,"Jaman bpk Harto roy ,rismon ,tifa ,rizal ,sudah jd mayat"
@mariasukini1068,"wadhuh dalangya bisa klojotan ini,ternyata gk beres beres 😭😭"
@remonkurniawan9439,"Adakah ga sih teman seangkatan Roy, Rismon yg ngejitakan kepala Roy, Rismon waktu di SD, SMP, SMA.......... Tampil doooong"
@nanangsubekti5149,Saling fitnah konoha dalam mode pembubaran diri
@denokeliza3925,benar pak 👍 roi itu kayak perempuan saja
@RosidWnks,"Roy panci cengar cengir..,muak tau.."
@Dullmukti-wz4ry,Mulut silpelrer tu ngga ada artinya ngga sopan
@denokeliza3925,omongan roi mencla mencle
@hendriquesujane,Iki roy bulett😂😂😂😂
@mochammadagildahyabaihaki9338,Kenapa koruptor roy suryo dikasih panggung lagi ... Ini org ga ada attitude nya bgt😢
@saxhnasam,Lama2 lihat Roy Suryo cs muak...
@iwansamudra2444,Roy Suryo Itu bodoh tapi ngeyel
@sen1longliu-gz6hm,Tamatan hukum ruko kok bisa masuk TV
@deobokek5019,terlalu bertele tele..... kenapa ijazah jokowi yang asli di tunjukkan ke publik
@cahayacintaailahi7929,Sifester emang penjilat
@hendriquesujane,Betulll ni logika
@sahid.muktamar,"Wong edan kui bebas ... Dual RS mending suruh debat sama pasien RSJ aja kali, lebih nyambung😊"
@Edylee-xs1cx,Rismon diadu dong dengan ahli juga seperti joshua biar berimbang gak nyambung...😂😂😂
@irwankurniawan1802,"SILVESTER = SAMPAH.......
penjilaT......😁😁😁😁"
@Babadanhilya,Ternak mulyono kya lg di ajarin ama para ahli . ternak mulyono cma bsa ngerocos
@pujinugroho4306,Waktunya roy suryo setres
@ronggowarsito7382,"Rismon s pakar abal"" d undang live sama joshua sinambela tdk muncul , tp tv one Msh saja mengundang pakar yg dgedein ototnya buka otaknya."
@hanacicilia4805,Tankap aj
@elchologaming7261,Cengengesan s anjing cuih
@DarmantoMaman,"Roy suryo cs keliatan tololnya
😂😂😂"
@WarasWaras-uc4pc,"Kpan di pengadilannya ,,rasanya kok GK sabar,,pinginnya si Roy dan kwan2 msuk,,,"
@siompong3764,"si rismon mau bandingkan dengan kasus kasus lain,padahal rismo  sendiri gk pagam dengan konteks yg sedang dia lakukan saat ini beda dengan perkara lain,"
@diahhodiy1609,"Ribut mulu bangke!! Edukasi kelas taii!! Manfaat nol besar...Rakyat lagi pada susah cari duit disuguhin terus berita orang debat tai!!yang model begini ga perlu ditayangin terus!!nanti dilihat otak otak sumbu pendek jadi bom waktu!!mau palsu mau asli,Pemimpin itu cuma butuh 3 hal Nyali yang gede,Nurani yg tajam,Empati yg kuat!!pemimpin yang punya 3 hal ini sudah pasti cerdas!!silahkan buktikan!!
Wassalam!!😢"
@adiguna52,"Ahahahahaha, pinter si Kumis, dia ga berani ketika di jawab Itu foto domatno apa tidak, dia jawab nya pakai persentase niat nya biar ga bisa di proses, tp koar2 di TV kalau itu palsu, karena kalau dia jawab itu dumatno, dia tau dia akan salah, jd pakai jawaban abu2 😂"
@OjanAmaqojan,"Anjing knp gk mau tangkap orang ini,apa sih gunanya ada pihak berkuas di negara ini kennyakan bacot semua bikin gram"
@AhmadSofi-p5d,Roy Suryo dan rismon anda menuduh ijazah pak Jokowi sekarang anda tunjukkan ijazah kalian berdua oke kalau tidak berarti ijazah kalian berdua yg palsu ha ha ha coba tunjukkan Baru adil merdeka
@suyudidian6260,"Roy suryo harus bisa membuktikan kenapa ijasah pak jokowi palsu, pasti yg asli di bawa roy suryo.. harusnya bisa membandingkan perb 4:29 edaan yg asli dan yg palsu."
@mugiantoaja7515,Roy panci ahli cengar cengir 😂
@RikaNatalia-l1j,Gak mau dia ngakuin .. dia kan sudah terlanjur maju mundur kena😂😂😂
@MisWadi-n2l,"Cengar cengir nggak tau malu,membuat gaduh di masrakat pemerintah kok diam saja,apa yg di perdebatkan itu nggak ada gunanya,tujuanyahanya ingin menjatuhkan orng,karena hatinya di penuhi dg dengki"
@RirivAku,Roy panci cengar cengir gudu tak idoni raine
@prayogohudoyo7520,ketawanya roy bikin orangemosi
@dymaskardus,"Kalau sudah ada pelaporan  , tolong kapolri di proses hukum  cepat orang yg bikin gaduh  supaya TDK kemana2 masalah ijasah palsu ini, masyarakat sudah gaduh dgn berita ini"
@herrylie3633,Masih gak percaya ada org spt Roy dan Rismon. Benar benar Edan kebencian spt menghilangkan kewarasan.
@remonkurniawan9439,Rismon bhs lu bhs kampretttt
@remonkurniawan9439,Roy suryo nyerocos mutar muter pakar tele ayam
@remonkurniawan9439,Rismon bhsanya pake bhs karangannya bikin pusing mutar muter bolak balik
@dickyanes1485,"Ah c roy dkk menuduh ijazah pk jokowi palsu tapi dia tida punya barang bukti atau bb,klo memang betul ijazah pk jokowi palsu liatin bb nya baru itu bisa nuduh....😅😅"
@longfunvero5726,Roy Suryo sukanya ngurusi org lain...URUS DIRI SENDIRI LHA SOK BENER...HAPALIN DULU LAGU INDONESIA RAYA....KOCAK...
@triwahyudi_D5,"Foto diduga Adik Ipar, tapi kelahiran 77 berarti ditahun 85 umurnya baru 8 tahun. Jadi tahun berapa Ijazah itu dipalsukan? Dan siapa yg memalsukan? Sampai sekarang tidak bisa dibuktikan"
@AbdulReni,Rismon cs sudah gila
@ryanoly90,"Kasian banget pengacaranya jokowi,"
@AbdulReni,Roi Suroyo sama rismon saye sebagai rakyat indonesia mereka itu sudah seteris jangan didengar omongnya
@betofals4755,Panci nyecocos...
@syaefulalam9671,Mantqp maa roy ini orang muter2 ha ha ha
@aloysiusbuki2612,Banyak Pihak Roy Dapat Uang Media Indonesia Kita Bagus Bilang Apa Ya 😅
@shemaisrael6256,"Kalau manusia ini ditangkap , pasti gerombolan nya akan demo berjilid - jilid mengatakan kriminalisasi !! Sikat tuman2 provikator 2 ini.  ."
@shemaisrael6256,Harus segera ditangkap manusia2 ini.  Selalu membuat isi2 pemecah  belah bangsa!! penjarakan!!!
@rudisorong4330,❤ bang rismon
@dapitsaputra31,"Pasti juga nanti endingnya *Permintaan Ma'af* Roy Suryo dkk di media,. sebaiknya hukum jngn selesai hanya dengan permintaan Maaf harus di hukum seadil2nya,..🤦🏻🤦🏻🤦🏻
Sok pinter amat Roy Suryo ketawa kmu merendahkan orang,."
@muhammadjunaedi396,Roy cengengesan suryo
@EfendiAbdullah,Silvester gak ada ilmu
@iwanrentcar8402,Cepat tngkap pak kapolri rombongan roy cs sangat bikin gaduh negara dan gk pnting beritanya msalah ijazh😢
@PitsarakB2other,"BELAJAR LAGI TENTANG ETIKA LO ROY SURYO KOCAK!!!
ETIKA LO MANA KETIKA ORANG LAIN BICARA!!
ORANG LG BICARA MALAH KETAWA KETIWI!!
NAJIS LIAT MAKHLUK KAYA GINI!!!"
@MeliaAja-p5f,Jokowi dari jadi gubernur sampe persiden dituduh PKI. GK ada yg dipenjarain..tp dituduh ijazahnya palsu sdh 2 org dipenjarain...di logika saya..apa PKI nya yg benar atau ijazah palsunya yg benar??
@AbuSyifaWisamAhnaf,Kapan mereka ini mau ditangkap?
@GeeSSalapan,yang pakai batik ini argumennya ga ilmiah tapi ngototnya kaya calo....
@YosepBlasius-k9r,Silfister matutina pernah ditanya rocky gerung kapan sekolah di PT dia malah marah. Seperti dlm debat ini sifester kelihatan bodoh nya
@yoshepdaya2026,Kapan pengadilan ijazah ini digelar.. Biar cepat kelar.. Biar ada yg masuk penjara
@Yb0114,"👍 penjarakan saja Pak, buat apa pelihara provokator."
@SumaniKamal-s2m,Coba gantian ijazahku diviralku baru jempol. PK Jokowi kan udah terkenal
@bamyogmemory5591,Wajah wajah Penghianat bangsa..
@MichaelKaseger-t2c,Ahli hukum berijazah RUKO....🆘️🆘️🆘️
@WinduTanjung-le3oz,"Roy roy.. 😅😅😅😅
Nyengar nyengir 😅😅"
@wijayawid7868,Cengar cengir cengengesan pringas pringis bikin mual
@juhaeriyahjuju1221,Si Roy cungar cengir mulu
@jefry88hidha97,Lama lama kudu muntah liat roy panci 😂😂😂
@WinduTanjung-le3oz,"4:18
Nyengar nyengir sampe gigi nya kering...😅😅😅"
@mas_mayor,"Heh mon mon disitu kau banyak banget ngomong tebnis, di undang di forum tehnis oleh forum pakar digital forensik malam kau ga nongol, diditu dikupas tintas beserta tai tai kau, mati kau dipengadilan, kesimpulanya
1. Anda bukan seorang pakar sesungguhnya
2. Data yg anda gunakan data palsu semua
3. Anda ga beretika karena melanggar dasar hukum penelitian 
Selamat bergabung dengan setia novanto, luthfi hasan dkk yg sudah dulu masuk"
@MrMarhadi,Tangkap cengas cengasnya biar mingkem😂😂😂
@bagindah-g3q,"Seharusnya yg menuduh ijazah pak,jokowi itu palsu jangan bicara saja, lapor dn bawa ijazah alumni 1985 yg asli untuk di bandingkan kalo beda dia yg menang alo sama dia yg menuduh harus di hukum"
@ALYAA667,Silvester kalo ngomong suka ngawurrr
@ArziaAkbar,Ilmuan dan saintis hahahah...kasihan saya ama anak2 mereka
@ALYAA667,Komen termul lucu²...isinya otot
@ALYAA667,"Maju terus pak Roy,bung Rismon
Silvester prettttt"
@gunturmudzi,"Berdasarkan ilmu teknik ....mereka  tahu algoritma nya si software jamin 100% akurat????
Itu buat  mereka yanb bilang katanya ahli????"
@margaaditama5120,"Anjing emang Roy Suryo, eneg bgt ngeliat mukanya dan cara ngomongnya, mana cengar cengir aja lagi"
@mainananak_anak8454,"Omongan projo ga nyambung semua,,😂😂😂"
@mathewsix,"Intinya si rismon mau mengatakan hasil persentase kecocokan foto yg muncul pada ijazah jokowi adalah foto dumatno. Jadi jika nanti terbukti bahwa ijazah jokowi asli, secara tidak langsung si rismon mau mengatakan jangan salahkan kami, salahkan komputernya 😂😂😂😂
Roy panci dkk memang otaknya sudah sinting"
@arfchannel4866,Hukum dunia tak mempan .Ya hukum Akherat jawabannya. orang orang zolim masih berkuasa
@f26dly,Gada Wibawanya si panci
@dioalif3749,Kalau ijazahny asli. Emng hrsny d lakukan forensik lg .dan di periksa secara sepihak jgn gaduuuuh
